# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot
0.000 -0.00000 0.00000 -0.00000 -0.00000 0.00000 -0.00000 6.4692e-02 4.8809e-01 -9.2760e-03 -3.9274e-05 7.5445e-02 7.0221e-06 1.81850 0.18717 1.85205 -0.24100 0.03446 0.00571 1.84106e-02 2.81170e-29 -4.5972985928e-01 -4.4131930193e-01
2.005 -0.00000 0.00000 -0.00000 -0.00000 0.00000 0.00000 6.3797e-02 4.8952e-01 -1.4716e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79229 0.18616 1.82269 -0.23345 0.05388 0.00713 1.85718e-02 7.78663e-04 -4.6216876688e-01 -4.4281834107e-01
4.005 -0.00000 -0.00000 0.00000 -0.00000 0.00000 0.00000 6.2121e-02 4.8830e-01 -1.9959e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77664 0.18619 1.80623 -0.22570 0.07260 0.00981 1.85311e-02 1.52773e-03 -4.6322442965e-01 -4.4316559669e-01
6.000 0.00000 0.00000 -0.00000 0.00000 0.00000 0.00000 6.0126e-02 4.8769e-01 -2.5053e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77146 0.18621 1.79573 -0.21781 0.09066 0.01301 1.84495e-02 2.02316e-03 -4.6374388777e-01 -4.4327118439e-01
8.000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 5.7783e-02 4.8751e-01 -2.9995e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77182 0.18623 1.79025 -0.20924 0.10853 0.01377 1.84053e-02 2.20206e-03 -4.6391463320e-01 -4.4330723239e-01
10.000 0.00000 -0.00000 -0.00000 0.00000 0.00000 0.00000 5.5063e-02 4.8748e-01 -3.4745e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77277 0.18624 1.78870 -0.19925 0.12581 0.01502 1.83911e-02 2.22275e-03 -4.6393405159e-01 -4.4332017093e-01
12.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 5.1956e-02 4.8753e-01 -3.9267e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77636 0.18623 1.78631 -0.18800 0.14205 0.01729 1.83899e-02 2.17999e-03 -4.6389454171e-01 -4.4332466828e-01
14.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 4.8492e-02 4.8757e-01 -4.3502e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.78085 0.18625 1.78308 -0.17567 0.15740 0.01711 1.83912e-02 2.13387e-03 -4.6385117862e-01 -4.4332609256e-01
16.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 4.4682e-02 4.8761e-01 -4.7437e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.78318 0.18627 1.78178 -0.16187 0.17184 0.01654 1.83928e-02 2.09712e-03 -4.6381643735e-01 -4.4332652907e-01
18.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 4.0552e-02 4.8763e-01 -5.1032e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.78615 0.18626 1.77938 -0.14680 0.18479 0.01739 1.83936e-02 2.07754e-03 -4.6379782198e-01 -4.4332667707e-01
20.000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 3.6149e-02 4.8764e-01 -5.4261e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79025 0.18628 1.77553 -0.13099 0.19638 0.01619 1.83940e-02 2.06826e-03 -4.6378898486e-01 -4.4332673070e-01
22.000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 3.1478e-02 4.8764e-01 -5.7119e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79208 0.18631 1.77372 -0.11414 0.20688 0.01386 1.83941e-02 2.06610e-03 -4.6378695565e-01 -4.4332675716e-01
24.000 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 2.6581e-02 4.8764e-01 -5.9574e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79377 0.18632 1.77204 -0.09624 0.21578 0.01321 1.83942e-02 2.06556e-03 -4.6378650271e-01 -4.4332677130e-01
26.000 -0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 2.1497e-02 4.8760e-01 -6.1604e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79701 0.18633 1.76879 -0.07788 0.22299 0.01127 1.83928e-02 2.06096e-03 -4.6378055991e-01 -4.4332681659e-01
28.000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 1.6264e-02 4.8760e-01 -6.3209e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79827 0.18637 1.76749 -0.05907 0.22888 0.00764 1.83928e-02 2.06148e-03 -4.6378113217e-01 -4.4332681812e-01
30.000 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 1.0911e-02 4.8759e-01 -6.4370e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79844 0.18640 1.76726 -0.03956 0.23319 0.00578 1.83928e-02 2.06253e-03 -4.6378211413e-01 -4.4332681939e-01
32.000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 5.4811e-03 4.8759e-01 -6.5077e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.80028 0.18639 1.76541 -0.01984 0.23559 0.00358 1.83928e-02 2.06303e-03 -4.6378267114e-01 -4.4332682092e-01
34.000 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 1.3770e-05 4.8759e-01 -6.5328e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.80064 0.18641 1.76500 -0.00021 0.23649 -0.00057 1.83928e-02 2.06377e-03 -4.6378341679e-01 -4.4332682241e-01
36.000 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -5.4578e-03 4.8759e-01 -6.5123e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79918 0.18646 1.76642 0.01965 0.23590 -0.00309 1.83929e-02 2.06395e-03 -4.6378365002e-01 -4.4332682342e-01
38.000 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -1.0895e-02 4.8758e-01 -6.4457e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79926 0.18647 1.76630 0.03947 0.23340 -0.00494 1.83927e-02 2.06489e-03 -4.6378439709e-01 -4.4332682477e-01
40.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -1.6266e-02 4.8758e-01 -6.3336e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79867 0.18647 1.76689 0.05879 0.22924 -0.00873 1.83927e-02 2.06497e-03 -4.6378450934e-01 -4.4332682587e-01
42.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -2.1513e-02 4.8757e-01 -6.1775e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79578 0.18651 1.76973 0.07773 0.22374 -0.01125 1.83926e-02 2.06527e-03 -4.6378472741e-01 -4.4332682687e-01
44.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -2.6614e-02 4.8758e-01 -5.9780e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79420 0.18654 1.77130 0.09636 0.21652 -0.01218 1.83928e-02 2.06449e-03 -4.6378412742e-01 -4.4332682795e-01
46.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -3.1527e-02 4.8757e-01 -5.7363e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.79284 0.18654 1.77267 0.11411 0.20761 -0.01479 1.83928e-02 2.06426e-03 -4.6378389625e-01 -4.4332682874e-01
48.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -3.6219e-02 4.8757e-01 -5.4546e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.78913 0.18656 1.77638 0.13096 0.19750 -0.01669 1.83929e-02 2.06370e-03 -4.6378337613e-01 -4.4332682975e-01
50.005 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 -4.0663e-02 4.8757e-01 -5.1346e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.78628 0.18660 1.77918 0.14717 0.18602 -0.01634 1.83927e-02 2.06379e-03 -4.6378335562e-01 -4.4332683059e-01
52.005 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -4.4822e-02 4.8756e-01 -4.7782e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.78459 0.18661 1.78087 0.16229 0.17296 -0.01721 1.83927e-02 2.06345e-03 -4.6378302320e-01 -4.4332683122e-01
54.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -4.8666e-02 4.8756e-01 -4.3885e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.78082 0.18661 1.78464 0.17604 0.15884 -0.01809 1.83927e-02 2.06354e-03 -4.6378311861e-01 -4.4332683221e-01
56.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -5.2173e-02 4.8756e-01 -3.9682e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77742 0.18664 1.78801 0.18878 0.14378 -0.01641 1.83928e-02 2.06334e-03 -4.6378302191e-01 -4.4332683285e-01
58.005 -0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 -5.5317e-02 4.8756e-01 -3.5197e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77594 0.18667 1.78947 0.20030 0.12745 -0.01538 1.83929e-02 2.06354e-03 -4.6378322799e-01 -4.4332683349e-01
60.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -5.8071e-02 4.8756e-01 -3.0464e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77295 0.18666 1.79246 0.21015 0.11021 -0.01511 1.83928e-02 2.06353e-03 -4.6378318182e-01 -4.4332683440e-01
62.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -6.0421e-02 4.8755e-01 -2.5521e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.76978 0.18667 1.79562 0.21859 0.09247 -0.01239 1.83928e-02 2.06372e-03 -4.6378332363e-01 -4.4332683491e-01
64.005 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 -6.2351e-02 4.8755e-01 -2.0397e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.76901 0.18670 1.79635 0.22575 0.07392 -0.00970 1.83927e-02 2.06391e-03 -4.6378342576e-01 -4.4332683562e-01
66.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -6.3843e-02 4.8755e-01 -1.5127e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.76748 0.18670 1.79787 0.23110 0.05469 -0.00848 1.83927e-02 2.06410e-03 -4.6378368520e-01 -4.4332683639e-01
68.005 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -6.4889e-02 4.8755e-01 -9.7538e-03 -3.9274e-05 7.5445e-02 7.0221e-06 1.76523 0.18669 1.80013 0.23475 0.03532 -0.00529 1.83928e-02 2.06413e-03 -4.6378375591e-01 -4.4332683689e-01
70.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -6.5484e-02 4.8755e-01 -4.3119e-03 -3.9274e-05 7.5445e-02 7.0221e-06 1.76549 0.18672 1.79984 0.23703 0.01572 -0.00155 1.83928e-02 2.06405e-03 -4.6378373779e-01 -4.4332683766e-01
72.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -6.5620e-02 4.8755e-01 1.1636e-03 -3.9274e-05 7.5445e-02 7.0221e-06 1.76581 0.18673 1.79952 0.23758 -0.00426 0.00018 1.83928e-02 2.06391e-03 -4.6378356138e-01 -4.4332683825e-01
74.005 -0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -6.5295e-02 4.8755e-01 6.6293e-03 -3.9274e-05 7.5445e-02 7.0221e-06 1.76490 0.18671 1.80045 0.23624 -0.02405 0.00311 1.83927e-02 2.06394e-03 -4.6378350806e-01 -4.4332683883e-01
76.005 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 -6.4517e-02 4.8755e-01 1.2047e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.76624 0.18671 1.79911 0.23347 -0.04351 0.00706 1.83927e-02 2.06392e-03 -4.6378345661e-01 -4.4332683958e-01
78.005 0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -6.3289e-02 4.8755e-01 1.7384e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.76837 0.18673 1.79696 0.22916 -0.06292 0.00876 1.83927e-02 2.06392e-03 -4.6378348613e-01 -4.4332684005e-01
80.005 -0.00000 -0.00000 -0.00000 0.00000 0.00000 -0.00000 -6.1616e-02 4.8755e-01 2.2598e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.76889 0.18672 1.79646 0.22297 -0.08190 0.01069 1.83928e-02 2.06374e-03 -4.6378339870e-01 -4.4332684073e-01
82.005 -0.00000 -0.00000 0.00000 0.00000 0.00000 -0.00000 -5.9513e-02 4.8755e-01 2.7652e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77102 0.18670 1.79435 0.21530 -0.10004 0.01401 1.83928e-02 2.06372e-03 -4.6378340911e-01 -4.4332684137e-01
84.005 0.00000 0.00000 -0.00000 0.00000 0.00000 -0.00000 -5.6997e-02 4.8755e-01 3.2514e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77454 0.18671 1.79082 0.20636 -0.11764 0.01516 1.83928e-02 2.06368e-03 -4.6378335419e-01 -4.4332684181e-01
86.005 0.00000 0.00000 0.00000 0.00000 0.00000 -0.00000 -5.4080e-02 4.8755e-01 3.7150e-02 -3.9274e-05 7.5445e-02 7.0221e-06 1.77622 0.18671 1.78913 0.19575 -0.13458 0.01558 1.83927e-02 2.06389e-03 -4.6378344147e-01 -4.4332684254e-01
